file_path,dataset,modality,label_original,label_aurora,split,source_url,notes
1100011002.avi,DAiSEE,video,"B=0,E=2,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011003.avi,DAiSEE,video,"B=0,E=2,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011004.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011005.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011006.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011007.avi,DAiSEE,video,"B=1,E=2,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011008.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011009.avi,DAiSEE,video,"B=0,E=2,C=1,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011010.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011011.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011012.avi,DAiSEE,video,"B=0,E=2,C=2,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011013.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011014.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011015.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011016.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011017.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011018.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011019.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011020.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011021.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
1100011022.avi,DAiSEE,video,"B=0,E=3,C=0,F=0",normal_or_low_risk,unknown,https://people.iith.ac.in/vineethnb/resources/daisee/,
